lugar de interes,distancia min,estacion bici max,direccion de lugar de interes,bicis disponibles
Biblioteca Pública Municipal Gloria Fuertes (Barajas),6290.502007265249,Calle Gutierre de Cetina nº 77,AVENIDA LOGROÑO 179,6
Biblioteca Pública Municipal Huerta de la Salud (Hortaleza),3572.6096636979214,Calle Carlota O'Neill nº 32,CALLE MAR DE LAS ANTILLAS 10,14
Biblioteca Pública Municipal Iván de Vargas (Centro),53.314631252345585,Plaza del Cordón,CALLE SAN JUSTO 5,12
Biblioteca Pública Municipal José Hierro (San Blas-Canillejas),3417.3876431083713,Calle Gutierre de Cetina nº 77,CALLE MARIA SEVILLA DIAGO 15,6
Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo),2197.623437917444,Calle Azucenas nº 1,AVENIDA MONFORTE DE LEMOS 38,12
Biblioteca Pública Municipal La Chata (Carabanchel),3247.4780887957795,Calle Caramuel nº 51,CALLE GENERAL RICARDOS 252 Antiguo Mercado de Carabanchel,7
Biblioteca Pública Municipal La Elipa (Ciudad Lineal),322.342901509374,Avenida Marqués de Corbera nº 52,CALLE NUESTRA SEÑORA DEL VILLAR 6,18
Biblioteca Pública Municipal Manuel Vázquez Montalbán (Tetuán),295.41682763710116,Calle Francos Rodríguez nº 62,CALLE FRANCOS RODRIGUEZ 67,3
Biblioteca Pública Municipal Mario Vargas Llosa (Centro),78.21756507423994,Calle Barceló nº 7,CALLE BARCELO 4,21
Biblioteca Pública Municipal María Lejárraga (Hortaleza),3560.963507058209,Paseo de la Castellana nº 298,CALLE PRINCESA DE EBOLI 29,13
Biblioteca Pública Municipal María Zambrano (Tetuán),669.5108511966629,Calle Azucenas nº 1,PLAZA DONOSO 5 En el Centro Cultural Eduardo Úrculo,12
Biblioteca Pública Municipal Miguel Delibes (Moratalaz),441.11072153361897,Calle Arroyo de las Pilillas nº 6,CALLE ARROYO BELINCOSO 11 JUNTO A CENTRO CULTURAL EDUARDO CHILLIDA,18
Biblioteca Pública Municipal Pablo Neruda (Ciudad Lineal),84.27872649527725,Calle Gutierre de Cetina nº 77,CALLE ASCAO 4,6
Biblioteca Pública Municipal Portazgo (Puente de Vallecas),882.1979182905268,Camino de Valderribas nº 94,CALLE CANTALAPIEDRA 11,21
Biblioteca Pública Municipal Pozo del Tío Raimundo (Puente de Vallecas),2340.989139312286,Calle Arroyo del Olivar nº 6,AVENIDA GLORIETAS 19 EN C. CULTURAL POZO TIO RAIMUNDO,24
Biblioteca Pública Municipal Pío Baroja (Arganzuela),306.30335686103496,Paseo de Yeserías nº 45,CALLE ARGANDA 12,23
